,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576
1,0.094173982,0.084013051,0.09505106,0.095392078,0.09194467,0.105976096,0.099522293,0.107057891,0.12044374,0.119815668,0.101141925,0.104651163,0.092970522,0.097297297,0.134536505,0.102604578,0.103205629,0.089825119
2,0.096273292,0.085526316,0.097345133,0.104699093,0.094449047,0.108989658,0.100633914,0.107445008,0.1072,0.11417004,0.180630284,0.293969849,0.277945619,0.301024429,0.300648298,0.27972028,0.318805488,0.309602649
3,0.115629984,0.092430279,0.098945661,0.125,0.075636943,0.107874016,0.1,0.110749186,0.091935484,0.345541401,0.466717674,0.410423453,0.404024768,0.393141946,0.409902597,0.387596899,0.395480226,0.386122449
4,0.1152,0.092851274,0.091853035,0.089588378,0.090617482,0.106603023,0.100633914,0.095576619,0.228438228,0.475541299,0.573899371,0.613934426,0.607734807,0.648824006,0.587993421,0.622964169,0.630999213,0.625581395
5,0.105965463,0.090413094,0.096491228,0.086336966,0.084634347,0.11589404,0.107285829,0.11517077,0.220434433,0.512155592,0.645799012,0.648119122,0.618623482,0.657458564,0.631863882,0.6496228,0.666932907,0.613132911
6,0.115384615,0.08095952,0.102106969,0.101335428,0.103588907,0.093268451,0.102987421,0.220351951,0.381329114,0.637669593,0.667209113,0.719641402,0.761866452,0.752177356,0.754317111,0.821400472,0.791633146,0.768081761
7,0.098856209,0.066460587,0.093322607,0.099921322,0.114703618,0.100880705,0.104234528,0.180892717,0.580724876,0.708769107,0.820809249,0.837489944,0.860869565,0.876045627,0.883158743,0.880778589,0.873534338,0.883817427
8,0.100081367,0.113617377,0.09450727,0.105263158,0.102523659,0.109387755,0.097063622,0.280249805,0.630525438,0.803292181,0.848292295,0.88528481,0.87073751,0.901509134,0.888024883,0.891871738,0.900398406,0.897435897
9,0.098360656,0.086086957,0.108452951,0.103194103,0.114049587,0.111831442,0.110662359,0.30658592,0.654340836,0.855761483,0.878109453,0.868613139,0.893927126,0.894605809,0.901071723,0.898425197,0.896496815,0.92750197
10,0.119083969,0.085786375,0.106260297,0.092125984,0.085644372,0.103557312,0.096850394,0.37687188,0.683544304,0.872222222,0.873581848,0.896307934,0.890510949,0.905630452,0.909160893,0.913570275,0.913669065,0.9201734
