0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
4-c Control,LOAM,39.166666667,4.0,0.0926640926633771,"{""source"": ""4-c Control"", ""target"": ""LOAM"", ""value"":0.0926640926633771},","{""source"": ""4-c Control"", ""target"": ""LOAM"", ""value"":0.30440777365792926},"
4-c Control,Maverick,40.499999999,1.333333333,0.03187250995320709,"{""source"": ""4-c Control"", ""target"": ""Maverick"", ""value"":0.03187250995320709},","{""source"": ""4-c Control"", ""target"": ""Maverick"", ""value"":0.1785287370515097},"
4-c Control,Merfolk,39.5,0.5,0.0125,"{""source"": ""4-c Control"", ""target"": ""Merfolk"", ""value"":0.0125},","{""source"": ""4-c Control"", ""target"": ""Merfolk"", ""value"":0.11180339887498948},"
4-c Control,MUD,44.0,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""MUD"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""MUD"", ""value"":0.0},"
4-c Control,Nic Fit,36.499999999,4.5,0.1097560975636526,"{""source"": ""4-c Control"", ""target"": ""Nic Fit"", ""value"":0.1097560975636526},","{""source"": ""4-c Control"", ""target"": ""Nic Fit"", ""value"":0.33129457822857983},"
4-c Control,Painter,40.5,0.5,0.012195121951219513,"{""source"": ""4-c Control"", ""target"": ""Painter"", ""value"":0.012195121951219513},","{""source"": ""4-c Control"", ""target"": ""Painter"", ""value"":0.11043152607484655},"
4-c Control,Pikula,36.0,3.0,0.07692307692307693,"{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"":0.07692307692307693},","{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"":0.2773500981126146},"
4-c Control,Reanimator,23.666666669,6.0,0.20224719099532887,"{""source"": ""4-c Control"", ""target"": ""Reanimator"", ""value"":0.20224719099532887},","{""source"": ""4-c Control"", ""target"": ""Reanimator"", ""value"":0.4497190133798313},"
4-c Control,Slivers,41.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Slivers"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Slivers"", ""value"":0.0},"
4-c Control,Sneak & Show,28.192307691,6.346153847,0.18374164813385843,"{""source"": ""4-c Control"", ""target"": ""Sneak & Show"", ""value"":0.18374164813385843},","{""source"": ""4-c Control"", ""target"": ""Sneak & Show"", ""value"":0.42865096306185807},"
4-c Control,Stoneblade,31.600000000000005,4.7,0.12947658402203857,"{""source"": ""4-c Control"", ""target"": ""Stoneblade"", ""value"":0.12947658402203857},","{""source"": ""4-c Control"", ""target"": ""Stoneblade"", ""value"":0.3598285480920581},"
4-c Control,Storm,11.277777777999999,11.944444444,0.5143540669714293,"{""source"": ""4-c Control"", ""target"": ""Storm"", ""value"":0.5143540669714293},","{""source"": ""4-c Control"", ""target"": ""Storm"", ""value"":0.7171848206504577},"
4-c Control,UR Delver,24.7,6.8999999999999995,0.2183544303797468,"{""source"": ""4-c Control"", ""target"": ""UR Delver"", ""value"":0.2183544303797468},","{""source"": ""4-c Control"", ""target"": ""UR Delver"", ""value"":0.46728410028562584},"
4-c Control,UWx Control,30.625,4.875,0.13732394366197184,"{""source"": ""4-c Control"", ""target"": ""UWx Control"", ""value"":0.13732394366197184},","{""source"": ""4-c Control"", ""target"": ""UWx Control"", ""value"":0.3705724539978273},"
4-c Control,Zombie Bombardment,23.5,8.5,0.265625,"{""source"": ""4-c Control"", ""target"": ""Zombie Bombardment"", ""value"":0.265625},","{""source"": ""4-c Control"", ""target"": ""Zombie Bombardment"", ""value"":0.5153882032022076},"
Affinity,Antiquities War,24.0,8.0,0.25,"{""source"": ""Affinity"", ""target"": ""Antiquities War"", ""value"":0.25},","{""source"": ""Affinity"", ""target"": ""Antiquities War"", ""value"":0.5},"
Affinity,Arclight Phoenix,34.8,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Arclight Phoenix"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Arclight Phoenix"", ""value"":0.0},"
Affinity,Belcher,21.0,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Belcher"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Belcher"", ""value"":0.0},"
Affinity,Bomberman,29.0,5.0,0.14705882352941177,"{""source"": ""Affinity"", ""target"": ""Bomberman"", ""value"":0.14705882352941177},","{""source"": ""Affinity"", ""target"": ""Bomberman"", ""value"":0.3834824944236852},"
Affinity,BUG Midrange,41.0,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""BUG Midrange"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""BUG Midrange"", ""value"":0.0},"
Affinity,Burn,38.5,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Burn"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Burn"", ""value"":0.0},"
Affinity,Canadian Threshold,38.75,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Canadian Threshold"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Canadian Threshold"", ""value"":0.0},"
Affinity,Cloudpost Ramp,40.333333333,3.333333333,0.07633587785612728,"{""source"": ""Affinity"", ""target"": ""Cloudpost Ramp"", ""value"":0.07633587785612728},","{""source"": ""Affinity"", ""target"": ""Cloudpost Ramp"", ""value"":0.27628948198606346},"
Affinity,Dark Depths,45.333333334,0.7777777779999999,0.01686746988401219,"{""source"": ""Affinity"", ""target"": ""Dark Depths"", ""value"":0.01686746988401219},","{""source"": ""Affinity"", ""target"": ""Dark Depths"", ""value"":0.12987482390368116},"
Affinity,Death and taxes,39.89999999999999,1.7,0.040865384615384616,"{""source"": ""Affinity"", ""target"": ""Death and taxes"", ""value"":0.040865384615384616},","{""source"": ""Affinity"", ""target"": ""Death and taxes"", ""value"":0.20215188501565998},"
